name,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,nonlinearLeftShear_0_lengthRatio,nonlinearLeftShear_0_stiffnessRatio,nonlinearLeftShear_1_lengthRatio,nonlinearLeftShear_1_stiffnessRatio,nonlinearLeftShear_2_lengthRatio,nonlinearLeftShear_2_stiffnessRatio,nonlinearLeftShear_3_lengthRatio,nonlinearLeftShear_3_stiffnessRatio,nonlinearRightShear_0_lengthRatio,nonlinearRightShear_0_stiffnessRatio,nonlinearRightShear_1_lengthRatio,nonlinearRightShear_1_stiffnessRatio,nonlinearRightShear_2_lengthRatio,nonlinearRightShear_2_stiffnessRatio,nonlinearRightShear_3_lengthRatio,nonlinearRightShear_3_stiffnessRatio,nonlinearStretchWarp_0_lengthRatio,nonlinearStretchWarp_0_stiffnessRatio,nonlinearStretchWarp_1_lengthRatio,nonlinearStretchWarp_1_stiffnessRatio,nonlinearStretchWarp_2_lengthRatio,nonlinearStretchWarp_2_stiffnessRatio,nonlinearStretchWarp_3_lengthRatio,nonlinearStretchWarp_3_stiffnessRatio,nonlinearStretchWeft_0_lengthRatio,nonlinearStretchWeft_0_stiffnessRatio,nonlinearStretchWeft_1_lengthRatio,nonlinearStretchWeft_1_stiffnessRatio,nonlinearStretchWeft_2_lengthRatio,nonlinearStretchWeft_2_stiffnessRatio,nonlinearStretchWeft_3_lengthRatio,nonlinearStretchWeft_3_stiffnessRatio,rightShear,stretchWarp,stretchWeft,thickness
V1_Cut_Sew_Knit_Terry_1987,13994.5791015625,13994.5791015625,23779.69921875,9200.888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0404052734375,0.029999999329447746,9.999999747378752e-05,177763.53125,1.0,1.0,1.0316674709320068,1.0,1.0983325242996216,1.0,1.1493350267410278,1.0,1.0,1.0,1.0316674709320068,1.0,1.0983325242996216,1.0,1.1493350267410278,1.0,1.0,1.0,1.0191650390625,611.113525390625,1.0454175472259521,743.0236206054688,1.0676751136779785,892.2020263671875,1.0,0.16932491958141327,1.036252498626709,2.1246700286865234,1.090417504310608,2.903430461883545,1.1326650381088257,3.4161264896392822,177763.53125,500.0,48205.34375,1.75
V2_Cut_Sew_Knit_Velour_1_2019,1224.1163330078125,1224.1163330078125,1269.349853515625,5786.984375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,244.0,0.029999999329447746,9.999999747378752e-05,18998.44140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21224.1953125,27291.50390625,16847.5859375,0.5
V2_Non-Fabric_Tyvek_3_2057,22214.97265625,22214.97265625,26478.10546875,18000.0234375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25241267681121826,0.25241267681121826,0.25023263692855835,0.25458383560180664,60.0,0.029999999329447746,9.999999747378752e-05,86050.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86050.9375,59413.94140625,93037.140625,0.5
V2_Cut_Sew_Knit_Fleece_2_2095,14911.67578125,14911.67578125,39617.19140625,7841.8037109375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,342.0,0.029999999329447746,9.999999747378752e-05,21589.8359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21589.8359375,38526.25,36740.42578125,0.5
V2_Woven_Taffeta_1_2133,2754.038818359375,2754.038818359375,4358.89404296875,2570.6279296875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,100.0,0.029999999329447746,9.999999747378752e-05,12034.12890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15548.9482421875,135420.28125,200000.0,0.5
V2_Cut_Sew_Knit_QuiltedKnit_2_2171,6170.45068359375,6170.45068359375,16756.306640625,13803.5537109375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,304.0,0.029999999329447746,9.999999747378752e-05,15772.8818359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16157.740234375,32569.92578125,42381.87890625,0.5
V2_Woven_Jacquard_Brocade_1_2209,10136.751953125,10136.751953125,11352.521484375,30429.634765625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25040167570114136,0.25040167570114136,0.25105127692222595,0.25137656927108765,148.0,0.029999999329447746,9.999999747378752e-05,14086.8759765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13711.6435546875,86847.140625,93634.7578125,0.5
V1_Cut_Sew_Knit_Cotton_Jersey_2245,1722.732421875,1722.732421875,6138.9189453125,482.36505126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.80807495117188,0.029999999329447746,9.999999747378752e-05,39515.85546875,1.0,1.0,1.070004940032959,1.0,1.2533375024795532,1.0,1.3918401002883911,1.0,1.0,1.0,1.070004940032959,1.0,1.2533375024795532,1.0,1.3918401002883911,1.0,1.0,1.0,1.056667447090149,1.0,1.2137550115585327,1.0,1.3335050344467163,1.0,1.0,1.0,1.0554225444793701,1.0,1.2366750240325928,1.0,1.3751699924468994,1.0,39515.85546875,149515.078125,238675.53125,0.7799999713897705
V2_Cut_Sew_Knit_Velour_3_2279,1693.6422119140625,1693.6422119140625,121.60990142822266,3704.65966796875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,350.0,0.029999999329447746,9.999999747378752e-05,15853.5810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15853.5810546875,42617.984375,20690.716796875,0.5
V2_Woven_Organza_2_2319,2358.4931640625,2358.4931640625,4572.10595703125,3108.515380859375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25235986709594727,0.25235986709594727,0.25025057792663574,0.2524995803833008,32.0,0.029999999329447746,9.999999747378752e-05,5992.6923828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5992.6923828125,40936.5,16308.5791015625,0.5
V2_Woven_Ripstop_1_2361,1896.5418701171875,1896.5418701171875,2619.945556640625,1855.734375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2514062523841858,0.2514062523841858,0.2514316737651825,0.2513144016265869,92.0,0.029999999329447746,9.999999747378752e-05,17844.76953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18482.4375,78966.15625,79659.8359375,0.5
