name,nonlinearStretchWarp,bucklingRatioLeftBias,density,bendingWeft,bucklingRatioRightBias,nonlinearRightShear,stretchWarp,bendingRightBias,nonlinearStretchWeft,bucklingStiffnessRightBias,bucklingStiffnessLeftBias,leftShear,nonlinearLeftShear,thickness,stretchWeft,internalDamping,bucklingRatioWarp,bendingWarp,rightShear,bucklingStiffnessWeft,bucklingStiffnessWarp,friction,bendingLeftBias,bucklingRatioWeft
V1_Woven_Cotton_Twill_9831,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.40534496307373047}, {'lengthRatio': 1.0019899606704712, 'stiffnessRatio': 2.0719966888427734}, {'lengthRatio': 1.0066624879837036, 'stiffnessRatio': 2.0719966888427734}, {'lengthRatio': 1.0101649761199951, 'stiffnessRatio': 2.0719966888427734}]",0.30000001192092896,193.43434143066406,6132.92724609375,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0179200172424316, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.058750033378601, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0910000801086426, 'stiffnessRatio': 1.048930287361145}]",482626.28125,14186.3271484375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.401066392660141}, {'lengthRatio': 1.0019899606704712, 'stiffnessRatio': 2.0783016681671143}, {'lengthRatio': 1.0087499618530273, 'stiffnessRatio': 2.0783016681671143}, {'lengthRatio': 1.0160000324249268, 'stiffnessRatio': 2.0783016681671143}]",0.25,0.25,377934.53125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0179200172424316, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.058750033378601, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0910000801086426, 'stiffnessRatio': 1.048930287361145}]",0.4399999976158142,481162.125,9.999999747378752e-05,0.30000001192092896,24540.697265625,377934.53125,0.25,0.25,0.029999999329447746,14186.3271484375,0.30000001192092896
V1_Fur_Rabbit_9857,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]",0.0,230.30303955078125,3769.911376953125,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",1700000.0,4555.3095703125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",0.0,0.0,660000.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,700000.0,9.999999747378752e-05,0.0,5340.70751953125,660000.0,0.0,0.0,0.029999999329447746,4555.3095703125,0.0
V1_Fur_Rabbit_9858,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]",0.0,230.30303955078125,3769.911376953125,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",1700000.0,4555.3095703125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",0.0,0.0,660000.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,700000.0,9.999999747378752e-05,0.0,5340.70751953125,660000.0,0.0,0.0,0.029999999329447746,4555.3095703125,0.0
V1_Fur_Rabbit_9859,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15631727874279022}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.400958776473999}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.112329483032227}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.630495071411133}]",0.0,230.30303955078125,3769.911376953125,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",1700000.0,4555.3095703125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.042810145765542984}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.761101245880127}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.695216655731201}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.4740986824035645}]",0.0,0.0,660000.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04358084499835968}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.4170138835906982}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.49077033996582}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.284012794494629}]",0.6700000166893005,700000.0,9.999999747378752e-05,0.0,5340.70751953125,660000.0,0.0,0.0,0.029999999329447746,4555.3095703125,0.0
V2_Woven_Velvet_Velveteen_3_9887,,0.30000001192092896,332.0,13773.54296875,0.30000001192092896,,238986.828125,12406.04296875,,0.2500976324081421,0.2500976324081421,23883.1328125,,0.5,29927.099609375,9.999999747378752e-05,0.30000001192092896,21595.529296875,24649.80859375,0.2503579556941986,0.25005394220352173,0.029999999329447746,12406.04296875,0.30000001192092896
V2_Cut_Sew_Knit_Jersey_1_9925,,0.30000001192092896,200.0,95.03020477294922,0.30000001192092896,,19252.12890625,555.7825927734375,,1.0,1.0,19245.912109375,,0.5,19336.228515625,9.999999747378752e-05,0.30000001192092896,6447.65283203125,17588.888671875,1.0,1.0,0.029999999329447746,555.7825927734375,0.30000001192092896
V2_Cut_Sew_Knit_CrepeKnit_1_9965,,0.30000001192092896,172.0,599.335693359375,0.30000001192092896,,30197.140625,730.745849609375,,1.0,1.0,11908.66015625,,0.5,20554.0,9.999999747378752e-05,0.30000001192092896,1176.41259765625,15978.490234375,1.0,1.0,0.029999999329447746,730.745849609375,0.30000001192092896
V2_Cut_Sew_Knit_Velvet_1_10005,,0.30000001192092896,256.0,3730.35009765625,0.30000001192092896,,60884.015625,2984.429931640625,,0.32304975390434265,0.32304975390434265,32670.896484375,,0.5,28103.31640625,9.999999747378752e-05,0.30000001192092896,4184.4931640625,32670.896484375,0.3237873315811157,0.32524266839027405,0.029999999329447746,2984.429931640625,0.30000001192092896
V1_Cut_Sew_Knit_Sherpa_Fleece_Poly_265gsm_10049,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15638482570648193}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.4024455547332764}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.11589241027832}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.635109901428223}]",0.0,265.0,2202.101318359375,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",27059.078125,3496.39794921875,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04267420992255211}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.7524075508117676}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.6771955490112305}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.453652858734131}]",0.0,0.0,22959.880859375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",0.6700000166893005,11716.6787109375,9.999999747378752e-05,0.0,4598.94677734375,22959.880859375,0.0,0.0,0.029999999329447746,3496.39794921875,0.0
V1_Cut_Sew_Knit_Sherpa_Fleece_Poly_265gsm_10056,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.15638482570648193}, {'lengthRatio': 1.070002555847168, 'stiffnessRatio': 3.4024455547332764}, {'lengthRatio': 1.1683449745178223, 'stiffnessRatio': 8.11589241027832}, {'lengthRatio': 1.2443450689315796, 'stiffnessRatio': 10.635109901428223}]",0.0,265.0,2202.101318359375,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",27059.078125,3496.39794921875,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04267420992255211}, {'lengthRatio': 1.0995949506759644, 'stiffnessRatio': 2.7524075508117676}, {'lengthRatio': 1.197510004043579, 'stiffnessRatio': 5.6771955490112305}, {'lengthRatio': 1.2735100984573364, 'stiffnessRatio': 6.453652858734131}]",0.0,0.0,22959.880859375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.04355423152446747}, {'lengthRatio': 1.0745949745178223, 'stiffnessRatio': 3.414933204650879}, {'lengthRatio': 1.172510027885437, 'stiffnessRatio': 9.484830856323242}, {'lengthRatio': 1.2485100030899048, 'stiffnessRatio': 15.2749605178833}]",0.6700000166893005,11716.6787109375,9.999999747378752e-05,0.0,4598.94677734375,22959.880859375,0.0,0.0,0.029999999329447746,3496.39794921875,0.0
