name,bendingRightBias,stretchWarp,bucklingRatioWeft,bucklingStiffnessWeft,bucklingStiffnessRightBias,bucklingStiffnessWarp,rightShear,bucklingStiffnessLeftBias,internalDamping,nonlinearLeftShear,bucklingRatioRightBias,bendingWeft,density,stretchWeft,bendingWarp,nonlinearStretchWeft,leftShear,bucklingRatioLeftBias,nonlinearRightShear,thickness,bendingLeftBias,friction,bucklingRatioWarp,nonlinearStretchWarp
V2_Cut_Sew_Knit_Velour_1_2019,1224.1163330078125,27291.50390625,0.30000001192092896,1.0,1.0,1.0,21224.1953125,1.0,9.999999747378752e-05,,0.30000001192092896,5786.984375,244.0,16847.5859375,1269.349853515625,,18998.44140625,0.30000001192092896,,0.5,1224.1163330078125,0.029999999329447746,0.30000001192092896,
V2_Non-Fabric_Tyvek_3_2057,22214.97265625,59413.94140625,0.30000001192092896,0.25458383560180664,0.25241267681121826,0.25023263692855835,86050.9375,0.25241267681121826,9.999999747378752e-05,,0.30000001192092896,18000.0234375,60.0,93037.140625,26478.10546875,,86050.9375,0.30000001192092896,,0.5,22214.97265625,0.029999999329447746,0.30000001192092896,
V2_Cut_Sew_Knit_Fleece_2_2095,14911.67578125,38526.25,0.30000001192092896,1.0,1.0,1.0,21589.8359375,1.0,9.999999747378752e-05,,0.30000001192092896,7841.8037109375,342.0,36740.42578125,39617.19140625,,21589.8359375,0.30000001192092896,,0.5,14911.67578125,0.029999999329447746,0.30000001192092896,
V2_Woven_Taffeta_1_2133,2754.038818359375,135420.28125,0.30000001192092896,0.25,0.25,0.25,15548.9482421875,0.25,9.999999747378752e-05,,0.30000001192092896,2570.6279296875,100.0,200000.0,4358.89404296875,,12034.12890625,0.30000001192092896,,0.5,2754.038818359375,0.029999999329447746,0.30000001192092896,
V2_Cut_Sew_Knit_QuiltedKnit_2_2171,6170.45068359375,32569.92578125,0.30000001192092896,1.0,1.0,1.0,16157.740234375,1.0,9.999999747378752e-05,,0.30000001192092896,13803.5537109375,304.0,42381.87890625,16756.306640625,,15772.8818359375,0.30000001192092896,,0.5,6170.45068359375,0.029999999329447746,0.30000001192092896,
V2_Woven_Jacquard_Brocade_1_2209,10136.751953125,86847.140625,0.30000001192092896,0.25137656927108765,0.25040167570114136,0.25105127692222595,13711.6435546875,0.25040167570114136,9.999999747378752e-05,,0.30000001192092896,30429.634765625,148.0,93634.7578125,11352.521484375,,14086.8759765625,0.30000001192092896,,0.5,10136.751953125,0.029999999329447746,0.30000001192092896,
V1_Cut_Sew_Knit_Cotton_Jersey_2245,1722.732421875,149515.078125,0.0,0.0,0.0,0.0,39515.85546875,0.0,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.070004940032959, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2533375024795532, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.3918401002883911, 'stiffnessRatio': 1.0}]",0.0,482.36505126953125,180.80807495117188,238675.53125,6138.9189453125,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0554225444793701, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2366750240325928, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.3751699924468994, 'stiffnessRatio': 1.0}]",39515.85546875,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.070004940032959, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2533375024795532, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.3918401002883911, 'stiffnessRatio': 1.0}]",0.7799999713897705,1722.732421875,0.029999999329447746,0.0,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.056667447090149, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.2137550115585327, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.3335050344467163, 'stiffnessRatio': 1.0}]"
V2_Cut_Sew_Knit_Velour_3_2279,1693.6422119140625,42617.984375,0.30000001192092896,1.0,1.0,1.0,15853.5810546875,1.0,9.999999747378752e-05,,0.30000001192092896,3704.65966796875,350.0,20690.716796875,121.60990142822266,,15853.5810546875,0.30000001192092896,,0.5,1693.6422119140625,0.029999999329447746,0.30000001192092896,
V2_Woven_Organza_2_2319,2358.4931640625,40936.5,0.30000001192092896,0.2524995803833008,0.25235986709594727,0.25025057792663574,5992.6923828125,0.25235986709594727,9.999999747378752e-05,,0.30000001192092896,3108.515380859375,32.0,16308.5791015625,4572.10595703125,,5992.6923828125,0.30000001192092896,,0.5,2358.4931640625,0.029999999329447746,0.30000001192092896,
V2_Woven_Ripstop_1_2361,1896.5418701171875,78966.15625,0.30000001192092896,0.2513144016265869,0.2514062523841858,0.2514316737651825,18482.4375,0.2514062523841858,9.999999747378752e-05,,0.30000001192092896,1855.734375,92.0,79659.8359375,2619.945556640625,,17844.76953125,0.30000001192092896,,0.5,1896.5418701171875,0.029999999329447746,0.30000001192092896,
