ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7287,KTTA & KOTITI,256,,woven,,"cotton 52%, ","ME 5%, ",polyester 43%,,,,,,,,,,,,,,,,,,,,,,
7288,KTTA & KOTITI,196,,knit,,polyester 95%,", EL 5%",,,,,,,,,,,,,,,,,,,,,,,
7298,KTTA & KOTITI,272,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7306,KTTA & KOTITI,213,,woven,,"polyester 92% (CHANEL 62%),", ME 8%,,,,,,,,,,,,,,,,,,,,,,,
7306,KTTA & KOTITI,38,,woven,,"cotton 75%, ",Silk 25%,,,,,,,,,,,,,,,,,,,,,,,
7307,KTTA & KOTITI,187,,woven,,"polyester 69%, ","cotton 25%, ",linen 6%,,,,,,,,,,,,,,,,,,,,,,
7307,KTTA & KOTITI,66,,woven,,acylic 100%,,,,,,,,,,,,,,,,,,,,,,,,
7321,KTTA & KOTITI,77,,woven,,"Silk 51%, ",polyester 49%,,,,,,,,,,,,,,,,,,,,,,,
7327,KTTA & KOTITI,43,,Woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7329,KTTA & KOTITI,82,,Woven,,acylic 100%,,,,,,,,,,,,,,,,,,,,,,,,
7329,KTTA & KOTITI,176,,Woven,twill,"polyamide 76%, ",polyester 24%,,,,,,,,,,,,,,,,,,,,,,,
7330,KTTA & KOTITI,152,,Woven,,polyamide 84%,Polyurethane 16%,,,,,,,,,,,,,,,,,,,,,,,
7330,KTTA & KOTITI,303,,knit,,"polyester 78%,"," viscose 16%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,
7331,KTTA & KOTITI,304,,knit,,"cotton 55%,","polyester 43%,",EL 2%,,,,,,,,,,,,,,,,,,,,,,
7331,KTTA & KOTITI,148,,woven,,"polyamide 84%,",Polyurethane16%,,,,,,,,,,,,,,,,,,,,,,,
7338,KTTA & KOTITI,345,,woven,twill,"polyester 95%, ",EL 5%,,,,,,,,,,,,,,,,,,,,,,,
7361,KTTA & KOTITI,123,,woven,,"cotton 75%, ","polyamide 22%, ",EL 3%,,,,,,,,,,,,,,,,,,,,,,
7361,KTTA & KOTITI,129,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7362,KTTA & KOTITI,354,,knit,,polyester 90%,", EL 10%",,,,,,,,,,,,,,,,,,,,,,,
7365,KTTA & KOTITI,222,,woven,,"cotton 63%,"," lyocell 33%,", EL 4%,,,,,,,,,,,,,,,,,,,,,,
7365,KTTA & KOTITI,315,,woven,,"viscose 67%, ","linen 22%, ",cotton 11%,,,,,,,,,,,,,,,,,,,,,,
7378,KTTA & KOTITI,363,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7378,KTTA & KOTITI,136,,woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7379,KTTA & KOTITI,75,,woven,,"lyocell 55%, ",polyamide 45%,,,,,,,,,,,,,,,,,,,,,,,
7379,KTTA & KOTITI,334,,woven,,"(F) Polyurethane 100%, (B) polyester 100%",,,,,,,,,,,,,,,,,,,,,,,,
7380,KTTA & KOTITI,108,,knit,,"polyamide 87%, ","ME 8%,",EL 5%,,,,,,,,,,,,,,,,,,,,,,
7380,KTTA & KOTITI,151,,knit,,"viscose 60%, ",polyester 40%,,,,,,,,,,,,,,,,,,,,,,,
7381,KTTA & KOTITI,215,,knit,,"viscose 58%, ","polyester 38%,",EL 4%,,,,,,,,,,,,,,,,,,,,,,
